표제어	품사	세종태그	어깨번호	뜻풀이	지역
금메	[감탄사][방언]	IC	00_00_00	글쎄	8, 15, 16
금물	[명사][방언]	NNG	01_00_00	그물	15, 16
금베	[명사][방언]	NNG	00_00_00	굼벵이	15, 16
금베지	[명사][방언]	NNG	00_00_00	굼벵이	16
긍게	[대명사][방언]	NP	00_00_00	거기	16, 18
기걸이	[명사][방언]	NNG	00_00_00	귀걸이	4, 6, 7, 8, 9, 11, 12, 15, 16, 18
기구막차다	[동사][방언]	VV	00_00_00	기막히다	16
기나가다	[동사][방언]	VV	00_00_00	지나가다	16
기나다	[동사][방언]	VV	00_00_00	지나다	16
기내다	[동사][방언]	VV	00_00_00	지내다	16
기다사다	[형용사][방언]	VA	00_00_00	기다랗다	16
기당	[명사][방언]	NNG	01_00_00	길이	14, 16
기두이	[명사][방언]	NNG	00_00_00	기둥	16, 18
기듀이	[명사][방언]	NNG	00_00_00	기둥	16
기듕	[명사][방언]	NNG	00_00_00	기둥	16
기등	[명사][방언]	NNG	00_00_00	기둥	16
기뚜광지	[명사][방언]	NNG	00_00_00	반짇고리	16
기뚜그르시	[명사][방언]	NNG	00_00_00	반짇고리	16
기뚜라미	[명사][방언]	NNG	00_00_00	귀뚜라미	4, 6, 7, 8, 9, 11, 12, 15, 16, 20
기뚜래미	[명사][방언]	NNG	00_00_00	귀뚜라미	4, 7, 8, 9, 11, 15, 16, 20
기뚜리	[명사][방언]	NNG	00_00_00	귀뚜리	8, 11, 12, 16
기띠	[명사][방언]	NNG	00_00_00	귀	16, 18
기레기	[명사][방언]	NNG	01_00_00	기러기	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20
기려기	[명사][방언]	NNG	00_00_00	기러기	5, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17
기매	[명사][방언]	NNG	00_00_00	가마	16
기맥히다	[형용사][방언]	VA	00_00_00	기막히다	4, 5, 7, 8, 13, 14, 15, 16, 17
기먹재	[명사][방언]	NNG	00_00_00	귀머거리	15, 16, 18, 20
기멕재	[명사][방언]	NNG	00_00_00	귀머거리	16, 18
기멱대	[명사][방언]	NNG	00_00_00	귀머거리	16, 18
기밀고기	[명사][방언]	NNG	00_00_00	기름쟁이	16
기바키	[명사][방언]	NNG	00_00_00	귓바퀴	15, 16, 18, 20
기반집	[명사][방언]	NNG	00_00_00	가방	16
기부리	[명사][방언]	NNG	03_00_00	밀기울	16
기불다	[동사][방언]	VV	00_00_00	기울다	16
기불이다	[동사][방언]	VV	00_00_00	기울이다	7, 16
기뿌리	[명사][방언]	NNG	01_00_00	귀뿌리	15, 16, 18, 19, 20
기슬기	[명사][방언]	NNG	00_00_00	기슭	5, 6, 11, 15, 16
기슴	[명사][방언]	NNG	00_00_00	김	16
기슴매다	[동사][방언]	VV	00_00_00	김매다	6, 11, 16, 18
기애집	[명사][방언]	NNG	00_00_00	기와집	13, 14, 16, 18
기어쿠	[부사][방언]	MAG	00_00_00	기어코	5, 11, 12, 13, 14, 16, 18, 19
기엽다	[형용사][방언]	VA	00_00_00	귀엽다	6, 7, 13, 14, 15, 16, 18, 19, 20
기왜	[명사][방언]	NNG	00_00_00	기와	7, 13, 14, 16
기을	[명사][방언]	NNG	00_00_00	겨울	11, 12, 16
기자이	[명사][방언]	NNG	00_00_00	기장	16, 18
기제기	[명사][방언]	NNG	01_00_00	기저귀	4, 5, 6, 16, 18
기차대가리	[명사][방언]	NNG	00_00_00	기관차	16, 18
기초돌	[명사][방언]	NNG	00_00_00	주춧돌	15, 16, 18
기푸다	[형용사][방언]	VA	00_00_00	깊다	16
기프다	[형용사][방언]	VA	02_00_00	깊다	4, 5, 6, 7, 8, 9, 11, 12, 15, 16, 18, 20
기하사람	[명사][방언]	NNG	00_00_00	아랫사람	16
길구다	[동사][방언]	VV	00_00_00	기르다	15, 16
길구미	[명사][방언]	NNG	00_00_00	콩나물	16
길굼국	[명사][방언]	NNG	00_00_00	콩나물국	15, 16
길그다	[동사][방언]	VV	00_00_00	기르다	16
길금실기	[명사][방언]	NNG	00_00_00	콩나물시루	16
길씨	[명사][방언]	NNG	00_00_00	길이	7, 16
김티	[명사][방언]	NNG	00_00_00	김치	16
깃구넝	[명사][방언]	NNG	00_00_00	귓구멍	4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
깃바키	[명사][방언]	NNG	00_00_00	귓바퀴	15, 16, 18
깊죽하다	[형용사][방언]	VA	00_00_00	깊숙하다	16
까꾸래미	[명사][방언]	NNG	00_00_00	곤두박질	16, 18
까꾸래미치다	[동사][방언]	VV	00_00_00	꺼꾸러뜨리다	16, 18
까꾸레	[명사][방언]	NNG	00_00_00	갈고리	11, 12, 15, 16, 18, 20
까꾸루	[부사][방언]	MAG	00_00_00	거꾸로	4, 14, 16, 18, 19
까꿀래미	[명사][방언]	NNG	00_00_00	곤두박질	16, 18
까꿀루	[부사][방언]	MAG	00_00_00	거꾸로	4, 5, 12, 15, 16, 18
까꿀르	[부사][방언]	MAG	00_00_00	거꾸로	16, 18
까다랍다	[형용사][방언]	VA	00_00_00	까다롭다	6, 14, 16, 18, 19, 20
까다럽다	[형용사][방언]	VA	00_00_00	까다롭다	6, 7, 8, 11, 15, 16, 18, 20
까더럽다	[형용사][방언]	VA	00_00_00	까다롭다	6, 8, 9, 16, 18
까뜩차다	[형용사][방언]	VA	00_00_00	가뜩하다	7, 14, 15, 16, 18, 19, 20
까매기	[명사][방언]	NNG	00_00_00	까마귀	10, 11, 16
까븜다	[동사][방언]	VV	00_00_00	까불다	16, 18
까시다	[동사][방언]	VV	00_00_00	가시다	4, 11, 12, 15, 16, 18, 20
