표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
가루비누	[명사][방언]	NNG	00_00_00	갈그비눌, 갈기비누, 갈기비눌	가룻비누, 갈루비누	가리비늘, 가리사분	 	비누가루, 비누가리, 비눗가리	비누가루	가룻비누	 	 	 	 	 	가르비늘, 갈기비누리, 갈기비느리	 	 	 	 	 
가루사탕	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	가를사탕	 	 	 	 	 	 	 	 	 
가루소금	[명사][방언]	NNG	00_00_00	 	 	가리소곰, 가리소금	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가루약	[명사][방언]	NNG	00_00_00	갈그약, 갈기약	 	가리약	 	 	 	 	 	가로약, 가를약	 	 	 	 	 	 	 	 	 
가루우유	[명사][방언]	NNG	00_00_00	갈그우유, 갈기우유	 	가리우유	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가루음식	[명사][방언]	NNG	00_00_00	 	 	가리임석	 	 	 	 	 	가로음식, 가를음식	 	 	 	 	 	 	 	 	 
가루좀	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	뒝	뒝	 	 	 	 	 	 	 	 	 	 
가루즙	[명사][방언]	NNG	00_00_00	 	 	가리집	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가르다	[동사][방언]	VV	00_00_00	갈르다, 때개다, 때기다	갈르다	갈르다	타다, 갈르다	갈르다	갈러다, 갈르다	갈르다	갈르다	갈르다	 	 	갉다	갉다	갈루다	 	 	 	 
가르랑가르랑	[부사][방언]	MAG	00_00_00	 	 	 	개롱개롱, 개릉개릉	 	 	 	 	하르랑하르랑, 흘그랑흘그랑	 	 	 	 	 	 	 	 	 
가르마	[명사][방언]	NNG	00_00_00	가름배, 가름재, 가름패, 가르매, 가름마, 가름매, 가림배	가름자, 가름마, 가름바, 가리매	가래미, 가래매, 가랜매, 가르매, 가른매, 가름매, 가리매, 가리미, 개리미, 까리매, 깔매, 머릿딩이	가늠베, 가름배, 가리페, 가르매, 가르페, 가름마, 가름매, 가리매, 가리미, 가리배, 가리패, 가리피, 가림비, 가림패, 그름마, 그름베, 까리매, 깔매	가그매, 가르매, 가름매, 가리매	가래매, 가루마, 가루매, 가르매, 가리매, 가리미	가름배, 가름자, 가림매, 가루마, 가르매, 가름마, 가름매, 가름바, 가리매, 가림마	가름배, 가람배, 가룸마, 가르매, 가름마, 가름매, 가림마, 가림배	 	골타기, 머리골	골타기	가림, 골타기, 가르매, 가리매, 가리미	머리끔, 가리금, 가림금	골, 가로마, 가루마	가르매, 가리금, 가리매, 가림금	 	가르매, 가리매, 가리미, 까리매, 깔매	 
가르치다	[동사][방언]	VV	00_00_00	갈르치다, 갈르키다, 갈체주다	갈키다	가라치다, 가래치다, 갈차주다, 갈차다, 갈추다, 갈키다, 개라차다, 개리치다, 갤마다, 갤주다, 갤차주다, 갤차다, 갤추다, 갤치다, 갤카주다, 갤카다, 걸차주다, 컬카주다	가라치다, 가래치다, 갈체다, 갈추다, 갈케다, 갈키다, 갤차다	가라치다, 갈체다, 갈촤주다, 갈케주다, 갈키다, 개리치다, 갤차다, 갤채다, 갤추다, 갤치다, 갤키다, 아르치다	갈체다, 갈촤주다, 갈케주다, 아르치다	갈키다	가르끼다, 가르체다, 갈키다	 	가라치다, 보에주다	보에주다	갈치야주다	배와주다, 알으키다, 알캐주다	 	 	 	가래치다	 
가르치다	[동사][방언]	VV	01_00_00	 	 	게르치다, 겔추다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가르침	[명사][방언]	NNG	00_00_00	가르킴, 가리침	 	 	 	갈침	 	 	 	 	 	 	 	 	 	 	 	 	 
가리	[명사][방언]	NNG	00_00_00	 	 	가레, 발가리, 베늘, 벼느리, 비까리	가래이	거름자리, 베늘	비눌가리, 새반가리	 	 	 	 	 	 	 	 	 	 	 	 
가리	[명사][방언]	NNG	02_00_00	 	 	두루가리	 	 	 	 	누리	눌	 	 	 	 	 	 	 	 	 
가리가리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	갈리갈리	 	 	 	 	 	 	 	 	 
가리다	[동사][방언]	VV	00_00_00	가리쿠다, 갈루다	 	가라다, 가레다	가레다, 갈게다, 갈레다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가리다	[동사][방언]	VV	01_00_00	 	 	 	 	 	 	 	 	 	 	갈기다	 	 	 	 	 	 	 
가리다	[동사][방언]	VV	02_00_00	 	 	개루다	 	 	 	 	 	갈희다	 	 	 	 	 	 	 	 	 
가리다	[동사][방언]	VV	03_00_00	 	 	개라다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가리다	[동사][방언]	VV	04_00_00	 	 	 	 	 	 	 	 	눌다	 	 	 	 	 	 	 	 	 
가리마	[명사][방언]	NNG	00_00_00	 	 	 	 	개리매	개리매	 	 	 	 	 	 	 	 	 	 	 	 
가리비	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	밥조개	 	 	 	 	 	 	 	 	 
가리사니	[명사][방언]	NNG	00_00_00	 	 	 	 	가리생이	가리생이	 	 	 	 	 	 	 	 	 	 	 	 
가리키다	[동사][방언]	VV	00_00_00	가라치다	가라치다	가라치다, 갈차다, 갈추다, 갈키다, 개리치다, 갤차주다, 갤차다, 갤추다, 갤치다, 갤카다, 갤쿠다, 갤키다, 전자다	가라치다, 갈게다, 갈체다, 갈추다, 갈케다, 갈키다	가라치다, 갈키다, 개리키다, 갤추다, 갤치다	가라치다, 갈키다, 개리키다	가라치다, 개려치다, 아리키다, 일러주다	가라치다, 갈키다	가라치다	 	 	 	 	 	갈키다	 	 	 
가마	[명사][방언]	NNG	00_00_00	수가마, 수가매, 쥐가마, 쥐가매	가름마, 까마, 수가마	가르매	 	가그매, 가르매, 가매꼭지, 버리가매	머리가매, 육철	 	 	 	 	 	 	기매	 	 	 	 	 
가마	[명사][방언]	NNG	03_00_00	숫가매	 	 	 	가메꼭지	 	 	 	상가메	 	 	 	 	 	 	 	 	 
가마	[명사][방언]	NNG	05_00_00	 	 	 	 	 	 	 	 	 	신개	신개	 	 	 	 	 	 	 
가마꾼	[명사][방언]	NNG	00_00_00	가매꾼	 	 	 	 	 	가마잽이, 가마질꾼	 	 	 	 	 	 	 	 	 	 	 
가마니	[명사][방언]	NNG	00_00_00	가마이, 가마스, 가망이, 가무니, 꺼치기	가마이, 가마짝, 가무니	가마이, 가망이, 가매이, 가무니, 꺼적, 꺼지기	가마이, 가망이, 가매니, 가매이, 가무니, 꺼적, 꺼지기	가마이, 가매기, 가매이, 가무니	가마이, 가매이, 가무니	가마이, 가무니, 메거리	가마이, 가무니, 꺼적	가마이, 가메기, 가멩이, 가무니	 	 	 	가마시	 	가마이, 가마시	 	가마이, 가망이	 
가마니	[명사][방언]	NNG	01_00_00	 	가메	가만때기, 가미이	가만때기, 가말때기	 	 	 	 	 	 	 	건치	 	 	 	 	 	 
가마니때기	[명사][방언]	NNG	00_00_00	 	 	가만때기, 가마이때기, 가마이때이	가마이때기, 가마이띠기, 가미때기	가매이때기	가미때기	 	 	가맹이터기, 가메기테기, 가멩이테기	 	가마니뙈기	 	 	 	 	 	 	 
가마니바늘	[명사][방언]	NNG	00_00_00	 	 	 	가마이바늘	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가마니틀	[명사][방언]	NNG	00_00_00	 	가마틀	 	가마이틀, 가매이틀	가멩이틀	 	 	 	가마니클, 가멩이클, 가멩이틀	 	 	 	 	 	 	 	 	 
가마득하다	[형용사][방언]	VA	00_00_00	 	 	감가무리하다	 	 	 	 	 	가마뜩하다	 	 	 	 	 	 	 	 	 
가마때기	[명사][방언]	NNG	00_00_00	가마띠기, 가매때기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가마뚜껑	[명사][방언]	NNG	00_00_00	 	 	 	 	가매뚜벙	 	 	 	 	 	 	가매드봉, 가매뚜께, 가매뚜베, 가매뚜벵	 	 	 	 	 	 
가마멀미	[명사][방언]	NNG	00_00_00	 	 	가매멀미	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가마솥	[명사][방언]	NNG	00_00_00	가매솥	가마섯, 가마솟, 쉐물솟, 지북솟	가매솣, 가매솥, 서말에치솥, 서말찌솥	가매솥, 기발조디	가마솟, 가맛솟, 가매솟, 가매솥, 가맷솟, 가맷솥, 감마솟, 개맛솟, 개매솟, 개매솥, 개맷솟, 버래솟, 버래솥, 버레솟, 쇠여물솟, 쇳물솟, 쇳물솥, 여물솟, 육철솟, 조선솟	가마솟, 가매솟, 가매솥, 개마솟, 개맷솟, 버레솟, 쇳물솟	가마솟, 가매솥, 쇠물솥	가마솟, 가마솣, 가매솥	다가리솟	가매솥	가매솥	 	 	노그제	 	 	 	 
가마우지	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	가마우디	가마우디	 	 	 	 	 	 	 
가마채	[명사][방언]	NNG	00_00_00	 	 	가매채	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가마타기	[명사][방언]	NNG	00_00_00	가매타기	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가마터	[명사][방언]	NNG	00_00_00	가매터	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가막사리	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	감기판	 	 	 	 	 	 	 	 	 
가막조개	[명사][방언]	NNG	00_00_00	 	 	 	까만조개	 	 	 	 	가막조겡이	 	 	 	 	 	 	 	 	 
가만	[부사][방언]	MAG	00_00_00	 	 	 	 	카만	 	 	 	 	 	 	 	 	 	 	 	 	 
가만가만	[부사][방언]	MAG	00_00_00	 	 	 	 	가망가망	 	 	 	 	 	 	 	 	 	 	 	 	 
가만가만히	[부사][방언]	MAG	00_00_00	 	 	 	가마가마이	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가만두다	[동사][방언]	VV	00_00_00	 	 	 	 	카만두다, 칸두다	 	 	 	 	 	 	 	 	 	 	 	 	 
가만있다	[동사][방언]	VV	00_00_00	가마이있다	 	 	 	가마있다, 카만있다	 	 	 	가만잇다	 	 	 	 	 	 	 	 	 
가만히	[부사][방언]	MAG	00_00_00	가마이, 가마히, 가만뎅이, 가망데이, 가망디이	가마이	가마이, 가마히	가마이, 가마히, 가마꼬, 가망이	카만히, 가마이, 카마이	 	가마히, 거만이	가마이, 가망쩔애, 가망대이루, 가망동으루	가만서, 가만이, 오도낫이	 	 	내써시	 	 	 	 	 	 
가맛바가지	[명사][방언]	NNG	00_00_00	 	 	감바가치, 감바치	감바가치, 감박재기	가맛바가치, 가매바가치, 가맷바가치, 가맷박, 개막바가치, 개맷바가치	가매바가치, 가매박적, 개맷바가치	가매쪽박	가매쪽박	 	 	 	 	 	 	 	 	 	 
가맛전	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	가매전	가매전	 	 	 	 	 
가매장하다	[동사][방언]	VV	00_00_00	 	 	 	 	 	 	 	고래장하다	 	 	 	 	 	 	 	 	 	 
가면	[명사][방언]	NNG	00_00_00	가멘	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가면극	[명사][방언]	NNG	00_00_00	가멘극	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가묘	[명사][방언]	NNG	00_00_00	 	 	 	가뫼	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가무러지다	[동사][방언]	VV	00_00_00	 	 	 	 	강그러지다	 	 	 	 	 	 	 	 	 	 	 	 	 
가무러치다	[동사][방언]	VV	00_00_00	가물치다	 	 	 	가물치다	가물치다	 	 	 	 	 	 	 	 	 	 	 	 
가무리다	[동사][방언]	VV	00_00_00	 	 	 	갈밀다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가무스름하다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	 	 	가모롱하다, 가모소롱하다, 가모속속하다, 가모초초하다	 	가무수룸하다	 	 	 	 	 	 	 
가무잡잡하다	[형용사][방언]	VA	00_00_00	까무잡하다, 깜초하다	 	 	 	꺼므찹찹하다	꺼므찹찹하다	 	 	 	 	 	 	 	 	 	 	 	 
가문	[명사][방언]	NNG	01_00_00	 	 	 	 	 	 	 	 	 	 	 	오래	 	 	 	 	 	 
가문비	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	감비	 	 	 	 	 
가물	[명사][방언]	NNG	00_00_00	 	 	 	 	가믈	 	 	 	가믈	 	 	 	 	 	 	 	 	 
가물다	[동사][방언]	VV	00_00_00	가믈다	 	가무다	 	 	 	 	 	가믈다	 	 	 	 	 	 	 	 	 
가물치	[명사][방언]	NNG	00_00_00	까물치, 사두치	 	 	까무치, 까물치	 	가말치	 	 	 	 	가물티	가마무치	 	 	 	 	 	 
가물치	[명사][방언]	NNG	01_00_00	 	 	 	 	까마치	 	 	 	가마치	 	 	 	 	 	 	 	 	 
가물치곰	[명사][방언]	NNG	00_00_00	 	 	가무치곰	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가물치회	[명사][방언]	NNG	00_00_00	 	 	가무치회	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가뭄	[명사][방언]	NNG	00_00_00	가믄	 	가무살, 가무름, 가뭄살, 가믐	가무사리	가무럼, 가무름, 가믐	가무럼, 가무룸, 가믐	가무름, 가므름, 가믐	가무름, 가믐	가믐	 	 	 	 	 	 	 	 	 
가뭄더위	[명사][방언]	NNG	00_00_00	가뭄더우, 가믐더우	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가뭄철	[명사][방언]	NNG	00_00_00	가믐철	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가뭄해	[명사][방언]	NNG	00_00_00	가믐해	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가뭇	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	감뭇	감뭇	 	 	 	 	 	 	 	 	 	 
가뭇가뭇	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가믓가믓	 	 	 	 	 	 	 	 	 
가뭇없다	[형용사][방언]	VA	00_00_00	 	 	 	 	 	 	감뭇하다	감뭇하다	 	 	 	 	 	 	 	 	 	 
가방	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	 	 	 	 	기반집	 	 	 	 	 
가벼워지다	[동사][방언]	VV	00_00_00	 	 	개겁아지다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가볍다	[형용사][방언]	VA	00_00_00	개굽다, 가갭다, 가겁다, 가굽다, 가법다, 가붑다, 개갭다, 개겁다, 개법다, 개볍다, 개봅다, 개붑다, 거법다, 거붑다, 헤꿉다	가법다, 가벼웁다, 개볍다, 걔볍다, 거엽다	개갑다, 개곱다, 해꼽다, 해꿉다, 가겹다, 개겁다, 개깝다, 개법다, 거겁다, 허껍다, 헤겁다, 헤깝다, 헤껍다, 헤꼽다, 헤꿉하다, 헤꿉다	개갑다, 개곱다, 해깝다, 가겹다, 개겁다, 개겹다, 개깝다, 기겁다, 엥고롬하다, 헤갑다, 헤겁다, 헤깝다, 헤껍다, 헤꼽다, 헤꿉다	개굽다, 게풋하다, 가급다, 가밥다, 가법다, 가봅다, 가붑다, 개겁다, 개급다, 개밥다, 개법다, 개볍다, 개봅다, 개붑다, 해겁다, 해급다, 허깨비같다, 헤겁다, 헤깝다, 헤껍다, 헤꼽하다	가붑다, 개겁다, 개밥다, 개법다, 개볍다, 개봅다, 개붑다, 개붓다, 개븟다, 헤겁다, 헤깝다, 헤껍다	개굽다, 가붑다, 개깝다, 개밥다, 개법다, 개볍다, 개봅다, 개붑다, 개붓다, 거법다, 배밥다	개굽다, 가법다, 가봅다, 가붑다, 개겁다, 개깝다, 개밥다, 개법다, 개볍다, 개봅다, 개붑다, 거겁다	베삽다, 가법다, 가벱다, 가붑다, 개배또롱하다, 개백더렁하다, 개법다, 개벱다, 개볍다, 개붑다, 개빕다, 거법다, 거붑다, 깨붑다, 사깝다	가겹다, 가법다, 가붑다, 거빕다, 헤꿉다	가갑다, 가겹다, 가굽다, 가법다, 가붑다, 가빕다, 거빕다, 헤꿉다	가갑다, 개갑다, 거겹다, 가갭다, 가겁다, 가겝다, 가굽다, 개갭다, 개겁다, 개법다, 헤깝다	하깝다, 가갭다, 가굽다, 개가웁다, 개갭다, 거갭다, 헤갑다, 헤깝다, 헤껍다	가법다, 가빕다	가갭다, 개갭다, 개깝다, 개법다, 개붑다, 헤갑다, 헤껍다	가겹다, 가법다, 가붑다, 거빕다	가겹다, 개갭다, 개겁다, 개깝다, 헤갑다, 헤깝다	 
가볍디가볍다	[형용사][방언]	VA	00_00_00	가붑데가붑다	 	개갑디개갑다	개갑디개갑다	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가부좌	[명사][방언]	NNG	00_00_00	가부재, 올방구, 올방지, 펭개	 	양반다리	펭다리, 펭달, 펭댕이, 평달	헹감, 갱다리, 괴자, 데펭개, 펭개, 평개	 	 	 	 	 	 	 	얼방재	 	 	 	 	 
가부좌하다	[동사][방언]	VV	00_00_00	 	 	양반치다, 펭대이치다, 펭댕이치다, 펭자치다	 	괴자치다, 데펭개치다, 데편질허다, 양발개다, 펭개치다, 평개치다, 평좌치다, 헹감치다	 	다리젖개다, 무릎개다, 발젖개다	 	 	 	 	 	 	 	 	 	 	 
가붓가붓	[부사][방언]	MAG	00_00_00	 	 	 	 	개분개분, 개붓개붓	개붓개붓	 	 	 	 	 	 	 	 	 	 	 	 
가붓하다	[형용사][방언]	VA	00_00_00	개굿하다	 	 	 	개봇하다, 개푸닥허다, 개풋하다, 개풋허다	 	 	 	 	 	 	 	 	 	 	 	 	 
가뿐하다	[형용사][방언]	VA	00_00_00	개뿐하다	 	개뿐하다	 	개뽄하다, 개픈하다	개픈하다	 	 	 	 	갑북하다	 	 	 	 	 	 	 
가뿟가뿟	[부사][방언]	MAG	00_00_00	 	 	 	 	개픈개픈	 	 	 	 	 	 	 	 	 	 	 	 	 
가뿟하다	[형용사][방언]	VA	00_00_00	 	 	 	 	가풋하다, 개픈허다	 	 	 	 	 	 	 	 	 	 	 	 	 
가쁘다	[형용사][방언]	VA	00_00_00	 	 	가뿌다	 	가뿌다, 가프다	 	 	 	가뿌다	 	 	 	가뿌다	 	 	 	 	 
가쁘다	[형용사][방언]	VA	00_01_00	 	 	가푸다	 	가푸다	 	 	 	 	 	 	 	 	 	 	 	 	 
가선	[명사][방언]	NNG	01_00_00	 	 	 	 	까풀	 	 	 	 	 	 	 	 	 	 	 	 	 
가소로이	[부사][방언]	MAG	00_00_00	 	 	 	 	 	 	 	 	가소이, 가수이, 하가소이, 하가수이	 	 	 	 	 	 	 	 	 
가소롭다	[형용사][방언]	VA	00_00_00	가소룹다	 	 	 	가숩다	 	 	 	가수스럽다, 하가수하다	 	 	 	 	 	 	 	 	 
가수	[명사][방언]	NNG	00_00_00	 	 	 	가쑤	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가숭어	[명사][방언]	NNG	00_00_00	순어	언지	밀치	 	가수어, 개수어, 기모리, 시렝이	 	 	 	 	 	 	 	 	언지	 	 	 	 
가스	[명사][방언]	NNG	00_00_00	 	 	 	 	까쓰	까쓰, 깨쓰	 	 	 	 	 	 	 	 	 	 	 	 
가슴	[명사][방언]	NNG	00_00_00	 	 	가숨	가숨, 가심이	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가슴둘레	[명사][방언]	NNG	00_00_00	가심둘레	 	 	 	가심둘레	가심둘레	 	 	 	 	 	 	 	 	 	 	 	 
가슴뼈	[명사][방언]	NNG	00_00_00	가심뻬	 	가숨뻬	가슴삐	가심뻬	가심뻬	 	 	가슴꽝, 가슴뻬, 가심꽝	 	 	 	 	 	 	 	 	 
가슴살	[명사][방언]	NNG	00_00_00	 	 	 	복통살	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가슴속	[명사][방언]	NNG	00_00_00	가심속	 	 	 	가심속	가심속	 	 	 	 	 	 	 	 	 	 	 	 
가슴앓이	[명사][방언]	NNG	00_00_00	 	 	 	가슴속앓이, 가심앓이	가심에피, 가슴아피, 가슴애피, 가심아피, 가심앓이, 가심애피	가심앓이	 	 	가슴벵, 가슴빙	 	 	 	 	 	 	 	 	 
가슴앓이하다	[동사][방언]	VV	00_00_00	가심앓이하다, 속앓이하다	 	 	 	가슴아피허다, 가슴애피허다, 가심아피허다, 가심애피허다	 	 	 	 	 	 	 	 	 	 	 	 	 
가슴지느러미	[명사][방언]	NNG	00_00_00	 	 	 	 	가심지느러미, 가심지느레미	가심지느러미	 	 	 	 	 	 	 	 	 	 	 	 
가슴통	[명사][방언]	NNG	00_00_00	가심통	 	 	 	가심통	가심통	 	 	 	 	 	 	 	 	 	 	 	 
가슴팍	[명사][방언]	NNG	00_00_00	 	 	 	 	가심팍	 	 	 	 	 	 	 	 	 	 	 	 	 
가슴패기	[명사][방언]	NNG	00_00_00	가심패기	 	가심빼기	가숨빼기, 가슴빼기, 가심때기, 가심배기	가슴배기, 가슴뱅이, 가슴벵이, 가시마데기, 가심배기, 가심아데기	가슴배기, 가시마데기, 가심배기	가슴빼기	 	 	 	가심패기	 	 	 	 	 	 	 
가시	[명사][방언]	NNG	00_00_00	가쉬, 까시, 까시, 까시뎅이, 때까시, 장까시	카시	게기뻬, 까시, 까시, 까시쟁이, 까시랭귀, 까쎄, 까쟁이	까시, 까시	까시	까시, 된장버러지	까시	까시, 까시	장버렝이	 	 	 	 	 	 	 	 	 
가시	[명사][방언]	NNG	01_00_00	 	 	까새	 	가상구	 	 	 	 	 	 	 	 	 	 	 	 	 
가시	[명사][방언]	NNG	02_00_00	 	 	눈, 티	티	 	 	 	 	티	 	 	 	 	 	 	 	 	 
가시가자미	[명사][방언]	NNG	00_00_00	 	 	 	 	가시가재미	가시가재미	 	 	 	 	 	 	 	 	 	 	 	 
가시고기	[명사][방언]	NNG	00_00_00	까시뎅이고기	 	침게기	 	가시괴기	가시괴기	 	 	 	 	 	 	 	 	 	 	 	 
가시나무	[명사][방언]	NNG	00_00_00	가시낭그, 까시낭그	 	까씨나무	 	까시나무, 까시댕이	까시나무	까시나무	까시나무, 까시쟁이, 까시장나무	가시남, 가시낭, 카시낭	 	 	 	 	 	 	 	 	 
가시넝쿨	[명사][방언]	NNG	00_00_00	 	 	까세영쿨, 깔체이	까시넝꿀	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가시다	[동사][방언]	VV	00_00_00	가수다, 까시다	 	 	가새다, 가세다	가세다, 흔들치다	 	까시다	까시다	 	 	 	까시다	까시다	 	까시다	 	가세다, 까시다	 
가시덤불	[명사][방언]	NNG	00_00_00	가싯덤불, 까시더풀, 까시덤부레기, 까시덤부리, 까시덤부사리, 까시텀부리, 까시뎅이덤부레기, 까시뎅이덤부사리, 때까시덤부레기, 때까시덤부사리, 찔렛덤불	 	까샛덤불, 까시덤풀, 까쎗덤불, 까씨덤불	가씨덤불, 까시덤풀, 까시덩불, 까시덩치	가상클, 가시덤풀, 가시장클, 까시덤풀, 까시뎅이, 까시장클, 까시젱이, 까시텀풀, 까장클	가시장클, 까시덤풀, 까시덩풀	까시딩이, 덤뿌사리	가시덤풀	가시덤버리, 가시덤벌, 가시자왈, 가시낭덤벌	 	 	 	 	 	 	 	 	 
가시덩굴	[명사][방언]	NNG	00_00_00	까시덩쿨	 	 	까시넝쿨, 까시덩굴	가시덩쿨, 가시덩클, 까상쿠, 까시덩쿨	까시넝쿨, 까시덩굴, 까시덩쿨	 	까시덩쿨	 	 	 	 	 	 	 	 	 	 
가시딸기	[명사][방언]	NNG	00_00_00	 	 	 	 	 	 	 	 	보리탈낭, 가시탈낭, 곡지탈	 	 	 	 	 	 	 	 	 
가시랭이	[명사][방언]	NNG	00_00_00	까스락, 까시치	까락	가시리, 까시래기, 깨끼, 까스락, 까스래기, 까시래이, 까시랭귀, 까시리, 까시장쿠, 까씨랭이, 꺼스락, 꺼시락, 꺼시래이	까꺼라기, 까시래기, 까스래기, 까스래이, 꺼스래기	까시래기, 까스락, 까시라기, 까시랑구, 까시랑치, 까시랭기, 까시랭이명, 까시름, 꺼스라기, 꺼스락, 꺼시락, 꺼시럭	가시라구, 가시랑풀, 까스리기	검불래이	까끄레기, 검불래이, 까스락	 	 	 	 	 	 	 	 	까시렁이	 
가시방석	[명사][방언]	NNG	00_00_00	까시방석	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가시밭	[명사][방언]	NNG	00_00_00	까시밭, 까시뎅이밭, 때까시밭	 	까시밧	 	까사밭, 아사리밧	 	아사리밭	아사리밭	 	 	 	 	 	 	 	 	 	 
가시밭길	[명사][방언]	NNG	00_00_00	까시뎅이밭질, 까시밭질, 때까시밭질	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가시버시	[명사][방언]	NNG	00_00_00	에미나스나	 	 	 	 	가시보시, 까시버시, 까시보시	 	 	 	 	가바시	가바시, 에미네스나, 가시바시, 에미나스나, 에미네스	에미네스나, 에미나스나, 에미네스	 	 	 	 	 
가시복	[명사][방언]	NNG	00_00_00	뽁쟁이, 뽁지이, 뽁재이	 	춤복, 까시복지이	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
